family,policy,pairs,base_successes,dynamic_successes,base_sr,dynamic_sr,gap_pp,conditional_regression_pct
VLA,π0.5,8000,6374,5259,79.7,65.7,-13.9,21.6
VLA,OpenVLA-OFT,8000,5141,3452,64.3,43.2,-21.1,37.1
VLA,X-VLA,8000,5009,3015,62.6,37.7,-24.9,43.3
VLA,Xiaomi-Robotics-0,8000,5624,4158,70.3,52.0,-18.3,30.3
VLA,MolmoAct2,8000,6427,5355,80.3,66.9,-13.4,20.8
VLA,SmolVLA,8000,2086,1203,26.1,15.0,-11.0,56.1
VLA,GR00T N1.7,8000,5541,4001,69.3,50.0,-19.3,33.7
VLA,DM0.5,8000,6386,4967,79.8,62.1,-17.7,25.5
VLA+WAM,VLA-JEPA,8000,5883,4345,73.5,54.3,-19.2,30.0
WAM,Cosmos-Policy,8000,6195,4742,77.4,59.3,-18.2,25.8
WAM,Fast-WAM,8000,3360,1922,42.0,24.0,-18.0,49.8
WAM,HiMem-WAM,8000,5837,4613,73.0,57.7,-15.3,26.6
WAM,Light-WAM,8000,4384,2982,54.8,37.3,-17.5,37.9
WAM,DiT4DiT,8000,5211,3153,65.1,39.4,-25.7,42.3
